,county,state,min_confirmed_count,min_death_count,min_recovered_count,max_confirmed_count,max_death_count,max_recovered_count,median_confirmed_count,median_death_count,median_recovered_count,mean_confirmed_count,mean_death_count,mean_recovered_count,sum_confirmed_count,sum_death_count,sum_recovered_count,total_population,number_of_men,number_of_women,race_hispanic,race_white,race_black,race_native,race_asian,pacific,voting_age_citizens,census_income_average,census_income_margin,census_income_per_capita,census_income_per_capita_margin,census_poverty,census_child_poverty,professional_job_percentage,service_job_percentage,office_job_percentage,construction_job_percentage,production_job_percentage,commute_drive_percentage,commute_carpool_percentage,commute_transit_percentage,commute_walk_percentage,commute_other_percentage,commute_noneed_percentage,number_of_employed_people,employment_private_percentage,employment_public_percentage,employment_self_percentage,employment_family_percentage,unemployment_percentage,icu_beds,Total Population,Population Aged 60+,Percent of Population Aged 60+,Residents Aged 60+ Per Each ICU Bed,diversity_index,diversity_black_race,diversity_native_race,diversity_asian_race,diversity_pacific_race,diversity_two_or_more_races,diversity_hispanic_race,diversity_white_race,democrat,republican,other,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,mortality_rate,min_mortality_rate,max_mortality_rate,change_in_mortality_rate,min_change_in_mortality_rate,max_change_in_mortality_rate
0,Abbeville,SC,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.7894736842105263,0.0,0.0,34.0,0.0,0.0,24788.0,12044.0,12744.0,1.3,68.9,27.6,0.1,0.3,0.0,19452.0,35254.0,2259.0,19234.0,799.0,22.7,32.1,27.2,20.7,20.8,10.6,20.7,78.3,11.1,0.5,1.8,1.8,6.5,9505.0,78.8,13.3,7.8,0.1,9.4,6.0,24788.0,7042.0,28.4,1174.0,0.445417,28.2,0.3,0.4,0.0,1.3,1.2,68.9,3741.0,6763.0,271.0,1270343695.0,53120004.0,490.48199999999997,20.51,41.39380952380952,37.69761904761905,45.33714285714286,4.892857142857143,-19.183809523809526,41.30428571428571
1,Acadia,LA,0.0,0.0,0.0,30.0,2.0,0.0,3.0,0.0,0.0,4.682926829268292,0.2682926829268293,0.0,192.0,11.0,0.0,62607.0,30433.0,32174.0,2.4,77.5,17.6,0.1,0.1,0.0,45197.0,40492.0,2544.0,21591.0,1002.0,21.5,27.6,27.6,16.9,25.7,15.0,14.8,83.2,10.3,0.2,1.6,2.2,2.5,24982.0,80.0,12.1,7.6,0.3,8.9,4.0,62607.0,12138.0,19.4,3035.0,0.355956,18.3,0.3,0.4,0.0,1.3,2.0,78.1,5638.0,21162.0,589.0,,,,,51.61666666666666,47.63904761904762,55.78333333333334,29.357619047619053,-2.225714285714284,77.67857142857144
2,Acadia Parish,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1696777754.0,6021519.0,655.13,2.325,,,,,,
3,Accomack,VA,1.0,0.0,0.0,55.0,1.0,0.0,10.0,0.0,0.0,18.054054054054053,0.24324324324324326,0.0,668.0,9.0,0.0,32840.0,16079.0,16761.0,8.8,60.3,28.3,0.3,0.7,0.0,24408.0,42260.0,2253.0,24266.0,1564.0,19.8,31.8,31.1,17.7,18.8,15.1,17.3,80.0,10.6,0.5,2.6,1.8,4.5,13837.0,74.6,18.1,7.1,0.2,5.4,10.0,32840.0,9713.0,29.6,971.0,0.539878,28.0,0.6,0.6,0.2,1.5,9.0,61.1,6740.0,8583.0,495.0,1163701471.0,2229281547.0,449.30800000000005,860.73,46.38428571428572,42.546190476190475,50.35952380952381,-4.703809523809523,-25.25809523809524,27.708095238095233
4,Ada,ID,1.0,0.0,0.0,81.0,3.0,0.0,9.0,0.0,0.0,14.054545454545455,0.4,0.0,773.0,22.0,0.0,435117.0,217999.0,217118.0,7.9,85.2,1.2,0.4,2.6,0.1,316189.0,60151.0,1294.0,31642.0,725.0,11.8,13.1,43.0,16.6,25.0,6.9,8.4,80.7,7.7,0.5,1.5,2.8,6.9,214984.0,78.3,15.0,6.6,0.1,4.3,105.0,435117.0,80856.0,18.6,770.0,0.25662199999999996,1.3,0.8,2.6,0.2,2.6,7.5,85.8,75677.0,93752.0,26240.0,2726012203.0,20852173.0,1052.519,8.051,34.299523809523805,32.05047619047618,36.55571428571428,-1.278571428571429,-23.056666666666665,27.96952380952381
5,Adair,IA,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,7192.0,3552.0,3640.0,1.7,96.6,0.3,0.0,0.4,0.0,5572.0,49477.0,2633.0,28861.0,2055.0,9.5,12.1,28.2,16.9,20.0,17.3,17.6,77.9,12.4,0.3,2.8,0.4,6.2,3680.0,73.8,15.3,10.4,0.5,3.0,0.0,7192.0,2161.0,30.0,0.0,0.054921000000000005,0.2,0.1,0.4,0.0,0.7,1.5,97.2,1133.0,2461.0,217.0,1474404199.0,2597996.0,569.271,1.003,38.46,34.418571428571425,42.81476190476191,12.106666666666664,-16.352380952380948,55.03238095238097
6,Adair,KY,0.0,0.0,0.0,32.0,2.0,0.0,2.0,0.5,0.0,3.8333333333333335,0.5833333333333334,0.0,92.0,14.0,0.0,19304.0,9632.0,9672.0,1.8,93.4,3.6,0.1,0.1,0.0,15280.0,36575.0,3426.0,18408.0,1010.0,21.5,27.1,28.5,15.9,19.7,12.2,23.8,84.5,9.0,0.0,2.6,0.5,3.4,7988.0,74.1,15.8,9.9,0.1,6.2,0.0,19304.0,4558.0,23.6,0.0,0.12070299999999999,2.9,0.3,0.3,0.1,1.2,1.8,93.7,1323.0,6637.0,273.0,1049678094.0,18430783.0,405.283,7.1160000000000005,44.261428571428574,40.292857142857144,48.4147619047619,15.869523809523814,-14.492857142857142,61.07238095238095
7,Adair,MO,1.0,0.0,0.0,6.0,0.0,5.0,2.0,0.0,0.0,2.090909090909091,0.0,0.45454545454545453,23.0,0.0,5.0,25437.0,12013.0,13424.0,2.3,90.5,2.4,0.2,2.3,0.1,20169.0,38750.0,2130.0,21778.0,1702.0,26.2,20.7,36.8,18.2,24.1,9.4,11.5,77.3,12.1,0.1,4.0,2.6,4.0,11274.0,73.6,20.9,5.3,0.2,5.5,10.0,25437.0,4911.0,19.3,491.0,0.148385,1.6,0.3,2.0,0.1,1.7,2.4,92.2,3500.0,6030.0,696.0,1469362053.0,5468507.0,567.3240000000001,2.1109999999999998,42.84190476190476,39.233809523809526,46.832857142857144,18.501428571428576,-10.55285714285714,63.13571428571428
8,Adair,OK,0.0,0.0,0.0,12.0,1.0,19.0,1.0,0.0,1.0,2.1142857142857143,0.08571428571428572,1.6285714285714286,74.0,3.0,57.0,22136.0,10987.0,11149.0,6.4,40.8,0.3,41.7,0.6,0.2,16050.0,33366.0,1560.0,16576.0,820.0,30.8,43.0,23.9,17.6,19.4,14.0,25.2,84.4,8.5,0.1,2.8,1.0,3.2,8130.0,71.6,20.4,7.5,0.5,5.5,0.0,22136.0,4650.0,21.0,0.0,0.614293,0.5,44.0,0.5,0.0,10.3,5.8,42.2,1382.0,4787.0,344.0,1485305064.0,9254749.0,573.48,3.573,52.6057142857143,48.01999999999999,57.45619047619047,33.883333333333326,-0.3347619047619058,88.54095238095238
9,Adams,CO,1.0,0.0,0.0,170.0,9.0,0.0,38.0,1.0,0.0,41.53225806451613,1.6451612903225807,0.0,2575.0,102.0,0.0,487850.0,245840.0,242010.0,39.3,51.1,3.0,0.5,3.8,0.1,306416.0,64087.0,991.0,27487.0,366.0,12.2,16.4,29.8,18.9,24.1,13.7,13.5,77.7,11.2,3.8,1.2,1.1,5.0,246450.0,83.6,11.2,5.1,0.1,5.1,168.0,487850.0,69778.0,14.3,415.0,0.572274,3.5,2.2,4.0,0.2,2.9,38.6,52.4,96558.0,80082.0,17025.0,3023271523.0,41765935.0,1167.292,16.125999999999998,35.11333333333334,33.35428571428571,36.817619047619054,-2.4285714285714297,-20.216190476190476,15.286190476190479
