confirmed_date,county_name,state_name,confirmed_count,death_count,recovered_count
2020-01-21,Snohomish,WA,1,0,0
2020-01-24,Cook,IL,1,0,0
2020-01-26,Los Angeles,CA,1,0,0
2020-01-26,Maricopa,AZ,1,0,0
2020-01-26,Orange,CA,1,0,0
2020-01-30,Cook,IL,1,0,0
2020-01-31,Santa Clara,CA,1,0,0
2020-02-01,Suffolk,MA,1,0,0
2020-02-02,San Benito,CA,2,0,0
2020-02-02,Santa Clara,CA,1,0,0
2020-02-05,Dane,WI,1,0,0
2020-02-10,Unassigned,Wuhan Evacuee,1,0,0
2020-02-12,Unassigned,Wuhan Evacuee,1,0,0
2020-02-13,Unassigned,Wuhan Evacuee,1,0,0
2020-02-18,Unassigned,Diamond Princess,1,0,0
2020-02-20,Humboldt,CA,1,0,0
2020-02-21,Sacramento,CA,1,0,0
2020-02-21,Unassigned,Diamond Princess,17,0,0
2020-02-24,Unassigned,Diamond Princess,18,0,0
2020-02-25,Riverside,Diamond Princess,1,0,0
2020-02-25,Sonoma,Diamond Princess,1,0,0
2020-02-25,Unassigned,Diamond Princess,3,0,0
2020-02-26,Solano,CA,1,0,0
2020-02-26,Unassigned,Diamond Princess,1,0,0
2020-02-27,Unassigned,Diamond Princess,1,0,0
2020-02-28,King,WA,1,0,0
2020-02-28,Santa Clara,CA,1,1,0
2020-02-28,Snohomish,WA,1,0,0
2020-02-28,Unassigned,Diamond Princess,2,0,0
2020-02-28,Washington,OR,1,0,0
2020-02-29,Cook,IL,1,0,0
2020-02-29,King,WA,3,2,0
2020-02-29,Santa Clara,CA,1,0,0
2020-03-01,Alameda,CA,1,0,0
2020-03-01,Hillsborough,FL,1,0,0
2020-03-01,King,WA,6,4,0
2020-03-01,Manatee,FL,1,0,0
2020-03-01,New York,NY,1,0,0
2020-03-01,Oneida,NY,2,0,0
2020-03-01,Providence,RI,2,0,0
2020-03-01,Santa Clara,CA,3,0,0
2020-03-01,Snohomish,WA,1,1,0
2020-03-01,Solano,CA,1,0,0
2020-03-01,Unassigned,Diamond Princess,1,0,0
2020-03-01,Unassigned,Wuhan Evacuee,1,0,0
2020-03-01,Washington,OR,1,0,0
2020-03-02,Cook,IL,1,0,0
2020-03-02,Fulton,GA,2,0,0
2020-03-02,Grafton,NH,1,0,0
2020-03-02,King,WA,4,2,0
2020-03-02,Norfolk,MA,1,0,0
2020-03-02,Placer,CA,1,0,0
2020-03-02,Sacramento,CA,2,0,0
2020-03-02,San Mateo,CA,1,0,0
2020-03-02,Santa Clara,CA,2,0,0
2020-03-02,Snohomish,WA,1,0,0
2020-03-02,Sonoma,CA,1,0,0
2020-03-02,Washington,OR,1,0,0
2020-03-03,Alameda,CA,1,0,0
2020-03-03,Contra Costa,CA,1,0,0
2020-03-03,Gadsden,FL,1,0,0
2020-03-03,Grafton,NH,1,0,0
2020-03-03,Hillsborough,FL,1,0,0
2020-03-03,King,WA,8,2,0
2020-03-03,Los Angeles,CA,1,0,0
2020-03-03,Maricopa,AZ,1,0,0
2020-03-03,New York,NY,1,0,0
2020-03-03,Orange,CA,2,0,0
2020-03-03,Placer,CA,1,1,0
2020-03-03,Santa Clara,CA,2,0,0
2020-03-03,Wake,NC,1,0,0
2020-03-04,Bergen,NJ,1,0,0
