Unnamed: 0,county,state,average_college_total_confirmed_count_cumsum,average_college_medunit_confirmed_count_cumsum,average_college_total_death_count_cumsum
0,Abbeville,SC,-1.0,0.0,0.0
1,Ada,ID,50.0,0.0,0.0
2,Adair,MO,23.0,0.0,0.0
3,Adams,CO,1.5,0.0,0.0
4,Adams,IL,3.0,0.0,0.0
5,Adams,NE,6.0,0.0,0.0
6,Adams,PA,9.0,0.0,0.0
7,Addison,VT,2.0,0.0,0.0
8,Aiken,SC,18.0,0.0,1.0
9,Alachua,FL,97.5,0.0,0.0
10,Alamance,NC,21.0,0.0,0.0
11,Alameda,CA,40.5,0.0,0.0
12,Alamosa,CO,2.0,0.0,0.0
13,Albany,NY,1.0,0.0,0.0
14,Albany,WY,50.0,0.0,0.0
15,Allegany,MD,0.0,0.0,0.0
16,Allegany,NY,1.3333333333333333,0.0,0.3333333333333333
17,Allegheny,PA,16.125,0.0,0.0
18,Allen,IN,1.0,0.0,0.0
19,Allen,OH,-1.0,0.0,0.0
20,Alpena,MI,-1.0,0.0,0.0
21,Amherst,VA,7.0,0.0,0.0
22,Anchorage Municipality,AK,3.0,0.0,0.0
23,Anderson,SC,8.0,0.0,0.0
24,Androscoggin,ME,3.0,0.0,0.0
25,Anne Arundel,MD,7.0,0.0,0.0
26,Apache,AZ,-1.0,0.0,0.0
27,Arapahoe,CO,3.0,0.0,0.0
28,Arlington,VA,4.0,0.0,0.0
29,Aroostook,ME,0.5,0.0,0.0
30,Ashland,OH,0.0,0.0,0.0
31,Ashland,WI,0.0,0.0,0.0
32,Ashtabula,OH,-1.0,0.0,0.0
33,Atchison,KS,43.0,0.0,0.0
34,Athens,OH,22.0,0.0,0.0
35,Atlantic,NJ,0.0,0.0,0.0
36,Avery,NC,3.0,0.0,0.0
37,Baldwin,GA,297.5,0.0,0.0
38,Baltimore,MD,19.363636363636363,0.0,0.09090909090909093
39,Bannock,ID,44.0,0.0,0.0
40,Barbour,WV,-1.0,0.0,0.0
41,Barnes,ND,21.0,0.0,0.0
42,Barnstable,MA,0.0,0.0,0.0
43,Bartholomew,IN,-1.0,0.0,0.0
44,Bay,FL,-1.0,0.0,0.0
45,Bay,MI,9.0,0.0,0.0
46,Beaufort,SC,11.0,0.0,0.0
47,Beaver,PA,0.0,0.0,0.0
48,Beaverhead,MT,-1.0,0.0,0.0
49,Bedford,TN,2.0,0.0,0.0
50,Bell,TX,3.5,0.0,0.0
51,Belmont,OH,-1.0,0.0,0.0
52,Beltrami,MN,7.0,0.0,0.0
53,Bennington,VT,1.0,0.0,0.0
54,Benton,AR,10.0,0.0,0.0
55,Benton,OR,3.0,0.0,0.0
56,Bergen,NJ,7.666666666666668,0.0,0.0
57,Berks,PA,0.25,0.0,0.0
58,Berkshire,MA,0.0,0.0,0.0
59,Bernalillo,NM,34.0,0.0,0.0
60,Berrien,MI,4.0,0.0,0.0
61,Bexar,TX,45.16666666666666,0.0,0.0
62,Bibb,GA,65.33333333333333,0.0,0.0
63,Black Hawk,IA,78.0,0.0,0.0
64,Blair,PA,0.0,0.0,0.0
65,Blount,TN,-1.0,0.0,0.0
66,Blue Earth,MN,15.0,0.0,0.0
67,Bolivar,MS,5.0,0.0,0.0
68,Bond,IL,9.0,0.0,0.0
69,Boone,MO,317.5,0.0,0.0
70,Bottineau,ND,1.0,0.0,0.0
71,Boulder,CO,68.0,0.0,0.0
72,Bowie,TX,18.0,0.0,0.0
73,Boyle,KY,7.0,0.0,0.0
74,Bradley,TN,4.5,0.0,0.0
75,Brazoria,TX,1.0,0.0,0.0
76,Brazos,TX,752.0,0.0,0.0
77,Bremer,IA,7.0,0.0,0.0
78,Brevard,FL,6.5,0.0,0.0
79,Brewster,TX,1.0,0.0,0.0
80,Bristol,MA,0.3333333333333333,0.0,0.0
81,Bristol,RI,5.0,0.0,0.0
82,Brooke,WV,-1.0,0.0,0.0
83,Brookings,SD,91.0,0.0,0.0
84,Broome,NY,28.0,0.0,0.0
85,Broward,FL,0.0,0.0,0.0
86,Brown,MN,2.0,0.0,0.0
87,Brown,SD,24.0,0.0,0.0
88,Brown,TX,-1.0,0.0,0.0
89,Brown,WI,1.0,0.0,0.0
90,Bryan,OK,42.0,0.0,0.0
91,Buchanan,MO,1.0,0.0,0.0
92,Bucks,PA,-1.0,0.0,0.0
93,Buena Vista,IA,-1.0,0.0,0.0
94,Buena Vista,VA,2.0,0.0,0.0
95,Buffalo,NE,8.0,0.0,0.0
96,Bulloch,GA,638.0,0.0,0.0
97,Buncombe,NC,11.0,0.0,0.0
98,Burleigh,ND,1.5,0.0,0.0
99,Butler,KS,27.0,0.0,0.0
100,Butler,OH,92.66666666666669,0.0,0.0
101,Butler,PA,3.0,0.0,0.0
102,Butte,CA,78.0,0.0,0.0
103,Cabell,WV,55.0,0.0,0.0
104,Cache,UT,29.0,0.0,0.0
105,Caddo,LA,7.0,0.0,0.0
106,Calcasieu,LA,-1.0,0.0,0.0
107,Caledonia,VT,0.0,0.0,0.0
108,Calhoun,AL,219.0,0.0,0.0
109,Calhoun,MI,-1.0,0.0,0.0
110,Callaway,MO,16.5,0.0,0.0
111,Calloway,KY,43.0,0.0,0.0
112,Cambria,PA,1.0,0.0,0.0
113,Campbell,KY,3.0,0.0,0.0
114,Campbell,TN,4.0,0.0,0.0
115,Campbell,VA,-0.5,0.0,0.0
116,Canyon,ID,11.5,0.0,0.0
117,Cape Girardeau,MO,30.0,0.0,0.0
118,Carroll,GA,93.0,0.0,0.0
119,Carroll,MD,5.0,0.0,0.0
120,Carroll,TN,48.0,0.0,0.0
121,Carson,NV,-1.0,0.0,0.0
122,Carter,TN,10.0,0.0,0.0
123,Cass,ND,72.0,0.0,0.0
124,Catawba,NC,7.0,0.0,0.0
125,Cattaraugus,NY,1.0,0.0,0.0
126,Cayuga,NY,-1.0,0.0,0.0
127,Centre,PA,39.0,0.0,1.0
128,Champaign,IL,772.0,0.0,0.0
129,Charleston,SC,30.0,0.0,0.0
130,Charlotte,VA,4.0,0.0,0.0
131,Charlottesville,VA,119.0,0.0,0.0
