"COVID-19-Associated Hospitalization Rates (per 100,000 population) for the COVID-NET Network (downloaded on "May-13-2020)
Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,YEAR,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
California,EIP,2020,2020,10,0-4 yr,0,0
California,EIP,2020,2020,11,0-4 yr,0,0
California,EIP,2020,2020,12,0-4 yr,0,0
California,EIP,2020,2020,13,0-4 yr,0,0
California,EIP,2020,2020,14,0-4 yr,0,0
California,EIP,2020,2020,15,0-4 yr,0.5,0.5
California,EIP,2020,2020,16,0-4 yr,0.5,0
California,EIP,2020,2020,17,0-4 yr,0.5,0
California,EIP,2020,2020,18,0-4 yr,1,0.5
California,EIP,2020,2020,19,0-4 yr,null,null
California,EIP,2020,2020,20,0-4 yr,null,null
California,EIP,2020,2020,21,0-4 yr,null,null
California,EIP,2020,2020,22,0-4 yr,null,null
California,EIP,2020,2020,23,0-4 yr,null,null
California,EIP,2020,2020,24,0-4 yr,null,null
California,EIP,2020,2020,25,0-4 yr,null,null
California,EIP,2020,2020,26,0-4 yr,null,null
California,EIP,2020,2020,27,0-4 yr,null,null
California,EIP,2020,2020,28,0-4 yr,null,null
California,EIP,2020,2020,29,0-4 yr,null,null
California,EIP,2020,2020,30,0-4 yr,null,null
California,EIP,2020,2020,31,0-4 yr,null,null
California,EIP,2020,2020,32,0-4 yr,null,null
California,EIP,2020,2020,33,0-4 yr,null,null
California,EIP,2020,2020,34,0-4 yr,null,null
California,EIP,2020,2020,35,0-4 yr,null,null
California,EIP,2020,2020,36,0-4 yr,null,null
California,EIP,2020,2020,37,0-4 yr,null,null
California,EIP,2020,2020,38,0-4 yr,null,null
California,EIP,2020,2020,39,0-4 yr,null,null
California,EIP,2020,2020,10,5-17 yr,0,0
California,EIP,2020,2020,11,5-17 yr,0.2,0.2
California,EIP,2020,2020,12,5-17 yr,0.2,0
California,EIP,2020,2020,13,5-17 yr,0.2,0
California,EIP,2020,2020,14,5-17 yr,0.2,0
California,EIP,2020,2020,15,5-17 yr,0.2,0
