"COVID-19-Associated Hospitalization Rates (per 100,000 population) for the COVID-NET Network (downloaded on "May-13-2020)
Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,YEAR,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Colorado,EIP,2020,2020,10,0-4 yr,0,0
Colorado,EIP,2020,2020,11,0-4 yr,0,0
Colorado,EIP,2020,2020,12,0-4 yr,0,0
Colorado,EIP,2020,2020,13,0-4 yr,0.6,0.6
Colorado,EIP,2020,2020,14,0-4 yr,2.4,1.8
Colorado,EIP,2020,2020,15,0-4 yr,3.5,1.2
Colorado,EIP,2020,2020,16,0-4 yr,5.9,2.4
Colorado,EIP,2020,2020,17,0-4 yr,7.6,1.8
Colorado,EIP,2020,2020,18,0-4 yr,8.2,0.6
Colorado,EIP,2020,2020,19,0-4 yr,null,null
Colorado,EIP,2020,2020,20,0-4 yr,null,null
Colorado,EIP,2020,2020,21,0-4 yr,null,null
Colorado,EIP,2020,2020,22,0-4 yr,null,null
Colorado,EIP,2020,2020,23,0-4 yr,null,null
Colorado,EIP,2020,2020,24,0-4 yr,null,null
Colorado,EIP,2020,2020,25,0-4 yr,null,null
Colorado,EIP,2020,2020,26,0-4 yr,null,null
Colorado,EIP,2020,2020,27,0-4 yr,null,null
Colorado,EIP,2020,2020,28,0-4 yr,null,null
Colorado,EIP,2020,2020,29,0-4 yr,null,null
Colorado,EIP,2020,2020,30,0-4 yr,null,null
Colorado,EIP,2020,2020,31,0-4 yr,null,null
Colorado,EIP,2020,2020,32,0-4 yr,null,null
Colorado,EIP,2020,2020,33,0-4 yr,null,null
Colorado,EIP,2020,2020,34,0-4 yr,null,null
Colorado,EIP,2020,2020,35,0-4 yr,null,null
Colorado,EIP,2020,2020,36,0-4 yr,null,null
Colorado,EIP,2020,2020,37,0-4 yr,null,null
Colorado,EIP,2020,2020,38,0-4 yr,null,null
Colorado,EIP,2020,2020,39,0-4 yr,null,null
Colorado,EIP,2020,2020,10,5-17 yr,0,0
Colorado,EIP,2020,2020,11,5-17 yr,0,0
Colorado,EIP,2020,2020,12,5-17 yr,0,0
Colorado,EIP,2020,2020,13,5-17 yr,0,0
Colorado,EIP,2020,2020,14,5-17 yr,0,0
Colorado,EIP,2020,2020,15,5-17 yr,0.2,0.2
Colorado,EIP,2020,2020,16,5-17 yr,0.6,0.4
Colorado,EIP,2020,2020,17,5-17 yr,1.5,0.9
Colorado,EIP,2020,2020,18,5-17 yr,1.5,0
Colorado,EIP,2020,2020,19,5-17 yr,null,null
Colorado,EIP,2020,2020,20,5-17 yr,null,null
Colorado,EIP,2020,2020,21,5-17 yr,null,null
Colorado,EIP,2020,2020,22,5-17 yr,null,null
Colorado,EIP,2020,2020,23,5-17 yr,null,null
Colorado,EIP,2020,2020,24,5-17 yr,null,null
Colorado,EIP,2020,2020,25,5-17 yr,null,null
Colorado,EIP,2020,2020,26,5-17 yr,null,null
Colorado,EIP,2020,2020,27,5-17 yr,null,null
Colorado,EIP,2020,2020,28,5-17 yr,null,null
Colorado,EIP,2020,2020,29,5-17 yr,null,null
Colorado,EIP,2020,2020,30,5-17 yr,null,null
Colorado,EIP,2020,2020,31,5-17 yr,null,null
Colorado,EIP,2020,2020,32,5-17 yr,null,null
Colorado,EIP,2020,2020,33,5-17 yr,null,null
Colorado,EIP,2020,2020,34,5-17 yr,null,null
Colorado,EIP,2020,2020,35,5-17 yr,null,null
Colorado,EIP,2020,2020,36,5-17 yr,null,null
Colorado,EIP,2020,2020,37,5-17 yr,null,null
Colorado,EIP,2020,2020,38,5-17 yr,null,null
Colorado,EIP,2020,2020,39,5-17 yr,null,null
Colorado,EIP,2020,2020,10,18-49 yr,0.1,0.1
Colorado,EIP,2020,2020,11,18-49 yr,0.4,0.3
Colorado,EIP,2020,2020,12,18-49 yr,2,1.6
Colorado,EIP,2020,2020,13,18-49 yr,5.8,3.8
Colorado,EIP,2020,2020,14,18-49 yr,10.8,5
Colorado,EIP,2020,2020,15,18-49 yr,14.9,4.1
Colorado,EIP,2020,2020,16,18-49 yr,21.9,7
Colorado,EIP,2020,2020,17,18-49 yr,27.8,5.8
Colorado,EIP,2020,2020,18,18-49 yr,30.2,2.4
Colorado,EIP,2020,2020,19,18-49 yr,null,null
Colorado,EIP,2020,2020,20,18-49 yr,null,null
Colorado,EIP,2020,2020,21,18-49 yr,null,null
Colorado,EIP,2020,2020,22,18-49 yr,null,null
Colorado,EIP,2020,2020,23,18-49 yr,null,null
Colorado,EIP,2020,2020,24,18-49 yr,null,null
Colorado,EIP,2020,2020,25,18-49 yr,null,null
Colorado,EIP,2020,2020,26,18-49 yr,null,null
Colorado,EIP,2020,2020,27,18-49 yr,null,null
Colorado,EIP,2020,2020,28,18-49 yr,null,null
Colorado,EIP,2020,2020,29,18-49 yr,null,null
Colorado,EIP,2020,2020,30,18-49 yr,null,null
Colorado,EIP,2020,2020,31,18-49 yr,null,null
Colorado,EIP,2020,2020,32,18-49 yr,null,null
Colorado,EIP,2020,2020,33,18-49 yr,null,null
Colorado,EIP,2020,2020,34,18-49 yr,null,null
Colorado,EIP,2020,2020,35,18-49 yr,null,null
Colorado,EIP,2020,2020,36,18-49 yr,null,null
Colorado,EIP,2020,2020,37,18-49 yr,null,null
Colorado,EIP,2020,2020,38,18-49 yr,null,null
Colorado,EIP,2020,2020,39,18-49 yr,null,null
Colorado,EIP,2020,2020,10,50-64 yr,0,0
Colorado,EIP,2020,2020,11,50-64 yr,1.8,1.8
Colorado,EIP,2020,2020,12,50-64 yr,7.6,5.8
Colorado,EIP,2020,2020,13,50-64 yr,21.5,13.9
Colorado,EIP,2020,2020,14,50-64 yr,39.5,18.1
Colorado,EIP,2020,2020,15,50-64 yr,53.5,13.9
Colorado,EIP,2020,2020,16,50-64 yr,71.5,18.1
Colorado,EIP,2020,2020,17,50-64 yr,85.9,14.3
Colorado,EIP,2020,2020,18,50-64 yr,91.8,6
Colorado,EIP,2020,2020,19,50-64 yr,null,null
Colorado,EIP,2020,2020,20,50-64 yr,null,null
Colorado,EIP,2020,2020,21,50-64 yr,null,null
Colorado,EIP,2020,2020,22,50-64 yr,null,null
Colorado,EIP,2020,2020,23,50-64 yr,null,null
Colorado,EIP,2020,2020,24,50-64 yr,null,null
Colorado,EIP,2020,2020,25,50-64 yr,null,null
Colorado,EIP,2020,2020,26,50-64 yr,null,null
Colorado,EIP,2020,2020,27,50-64 yr,null,null
Colorado,EIP,2020,2020,28,50-64 yr,null,null
Colorado,EIP,2020,2020,29,50-64 yr,null,null
Colorado,EIP,2020,2020,30,50-64 yr,null,null
Colorado,EIP,2020,2020,31,50-64 yr,null,null
Colorado,EIP,2020,2020,32,50-64 yr,null,null
Colorado,EIP,2020,2020,33,50-64 yr,null,null
Colorado,EIP,2020,2020,34,50-64 yr,null,null
Colorado,EIP,2020,2020,35,50-64 yr,null,null
Colorado,EIP,2020,2020,36,50-64 yr,null,null
Colorado,EIP,2020,2020,37,50-64 yr,null,null
Colorado,EIP,2020,2020,38,50-64 yr,null,null
Colorado,EIP,2020,2020,39,50-64 yr,null,null
Colorado,EIP,2020,2020,10,65+ yr,0,0
Colorado,EIP,2020,2020,11,65+ yr,1.4,1.4
Colorado,EIP,2020,2020,12,65+ yr,12,10.6
Colorado,EIP,2020,2020,13,65+ yr,44.3,32.3
Colorado,EIP,2020,2020,14,65+ yr,79,34.8
Colorado,EIP,2020,2020,15,65+ yr,115.2,36.2
Colorado,EIP,2020,2020,16,65+ yr,157.3,42
Colorado,EIP,2020,2020,17,65+ yr,185.6,28.4
Colorado,EIP,2020,2020,18,65+ yr,200.7,15
Colorado,EIP,2020,2020,19,65+ yr,null,null
Colorado,EIP,2020,2020,20,65+ yr,null,null
Colorado,EIP,2020,2020,21,65+ yr,null,null
Colorado,EIP,2020,2020,22,65+ yr,null,null
Colorado,EIP,2020,2020,23,65+ yr,null,null
Colorado,EIP,2020,2020,24,65+ yr,null,null
Colorado,EIP,2020,2020,25,65+ yr,null,null
Colorado,EIP,2020,2020,26,65+ yr,null,null
Colorado,EIP,2020,2020,27,65+ yr,null,null
Colorado,EIP,2020,2020,28,65+ yr,null,null
Colorado,EIP,2020,2020,29,65+ yr,null,null
Colorado,EIP,2020,2020,30,65+ yr,null,null
Colorado,EIP,2020,2020,31,65+ yr,null,null
Colorado,EIP,2020,2020,32,65+ yr,null,null
Colorado,EIP,2020,2020,33,65+ yr,null,null
Colorado,EIP,2020,2020,34,65+ yr,null,null
Colorado,EIP,2020,2020,35,65+ yr,null,null
Colorado,EIP,2020,2020,36,65+ yr,null,null
Colorado,EIP,2020,2020,37,65+ yr,null,null
Colorado,EIP,2020,2020,38,65+ yr,null,null
Colorado,EIP,2020,2020,39,65+ yr,null,null
Colorado,EIP,2020,2020,10,Overall,0,0
Colorado,EIP,2020,2020,11,Overall,0.7,0.6
Colorado,EIP,2020,2020,12,Overall,3.8,3.1
Colorado,EIP,2020,2020,13,Overall,12.3,8.5
Colorado,EIP,2020,2020,14,Overall,22.4,10.1
Colorado,EIP,2020,2020,15,Overall,31.6,9.2
Colorado,EIP,2020,2020,16,Overall,43.7,12.1
Colorado,EIP,2020,2020,17,Overall,52.9,9.2
Colorado,EIP,2020,2020,18,Overall,57.1,4.2
Colorado,EIP,2020,2020,19,Overall,null,null
Colorado,EIP,2020,2020,20,Overall,null,null
Colorado,EIP,2020,2020,21,Overall,null,null
Colorado,EIP,2020,2020,22,Overall,null,null
Colorado,EIP,2020,2020,23,Overall,null,null
Colorado,EIP,2020,2020,24,Overall,null,null
Colorado,EIP,2020,2020,25,Overall,null,null
Colorado,EIP,2020,2020,26,Overall,null,null
Colorado,EIP,2020,2020,27,Overall,null,null
Colorado,EIP,2020,2020,28,Overall,null,null
Colorado,EIP,2020,2020,29,Overall,null,null
Colorado,EIP,2020,2020,30,Overall,null,null
Colorado,EIP,2020,2020,31,Overall,null,null
Colorado,EIP,2020,2020,32,Overall,null,null
Colorado,EIP,2020,2020,33,Overall,null,null
Colorado,EIP,2020,2020,34,Overall,null,null
Colorado,EIP,2020,2020,35,Overall,null,null
Colorado,EIP,2020,2020,36,Overall,null,null
