State,change_in_commute_for_retail,change_in_commute_for_grocery_and_pharmacy,change_in_commute_for_park,change_in_commute_for_transit_stations,change_in_commute_for_workplace,change_in_commute_for_residential
AL,-41,-13,19,-30,-32,9
AK,-48,-27,18,-55,-33,10
AZ,-40,-17,-7,-41,-33,10
AR,-29,-7,81,-22,-27,7
CA,-50,-24,-38,-54,-39,15
CO,-51,-27,-12,-60,-40,13
CT,-56,-32,-52,-64,-38,15
DE,-47,-28,-6,-57,-37,12
DC,-64,-30,-41,-68,-47,14
FL,-50,-26,-48,-63,-41,13
GA,-42,-17,-2,-52,-37,11
HI,-56,-36,-65,-72,-45,16
ID,-42,-18,25,-34,-38,10
IL,-53,-24,-29,-55,-39,13
IN,-48,-25,24,-34,-36,11
IO,-43,-10,41,-28,-29,10
KS,-36,-14,72,-20,-30,9
KN,-37,-11,68,-34,-34,9
LA,-45,-16,-18,-49,-35,11
ME,-50,-22,-24,-56,-31,10
MD,-45,-25,29,-51,-39,13
MA,-59,-36,-56,-73,-42,16
MI,-58,-28,15,-55,-43,12
MN,-58,-35,-16,-64,-38,14
MS,-32,-7,27,-29,-30,9
MO,-38,-12,73,-34,-32,9
MT,-51,-25,28,-37,-37,10
NE,-34,-9,109,-18,-24,8
NV,-47,-23,-38,-62,-52,14
NH,-58,-35,-63,-63,-38,13
NJ,-59,-33,-36,-70,-44,16
NM,-44,-18,-12,-31,-34,11
NY,-62,-32,-47,-68,-46,16
NC,-40,-15,13,-51,-35,10
ND,-44,-13,73,-36,-24,9
OH,-43,-19,117,-33,-35,10
OK,-36,-12,29,-23,-32,9
OR,-51,-25,-22,-47,-38,12
PA,-50,-27,7,-52,-38,12
RI,-55,-30,-50,-67,-37,14
SC,-38,-11,-4,-34,-34,9
SD,-35,-3,126,-31,-25,8
TN,-35,-9,35,-35,-34,8
TX,-45,-23,-27,-47,-36,13
UT,-41,-14,26,-44,-40,10
VT,-62,-42,-55,-71,-43,13
VA,-39,-16,46,-50,-36,11
WA,-48,-26,-11,-56,-41,13
WV,-38,-16,52,-31,-33,8
WI,-55,-30,-12,-50,-34,13
WY,-37,-13,29,-14,-29,8
