,state,date,one_dose,two_dose
329,AL,2021-02-24,604602.0,253615.0
330,AL,2021-02-25,615100.0,268465.0
331,AL,2021-02-26,627063.0,286095.0
332,AL,2021-02-27,643208.0,307868.0
333,AL,2021-02-28,649745.0,313290.0
334,AL,2021-03-01,653309.0,316073.0
335,AL,2021-03-02,663187.0,330046.0
336,AL,2021-03-03,674810.0,346841.0
337,AL,2021-03-04,688791.0,365456.0
338,AL,2021-03-05,704173.0,383078.0
339,AL,2021-03-06,721109.0,402061.0
340,AL,2021-03-07,727681.0,406723.0
341,AL,2021-03-08,732967.0,408318.0
342,AL,2021-03-09,746978.0,19.6
343,AL,2021-03-10,768201.0,20.1
673,AK,2021-02-24,156267.0,86836.0
674,AK,2021-02-25,158792.0,90214.0
675,AK,2021-02-26,161595.0,92233.0
676,AK,2021-02-27,163739.0,95331.0
677,AK,2021-02-28,166735.0,97554.0
678,AK,2021-03-01,168069.0,99916.0
679,AK,2021-03-02,168646.0,100902.0
680,AK,2021-03-03,170586.0,102382.0
681,AK,2021-03-04,172414.0,104129.0
682,AK,2021-03-05,174588.0,106558.0
683,AK,2021-03-06,178237.0,110053.0
684,AK,2021-03-07,180948.0,113787.0
685,AK,2021-03-08,182230.0,115633.0
686,AK,2021-03-09,183899.0,33.3
687,AK,2021-03-10,187263.0,34.0
1359,AZ,2021-02-24,1110854.0,407127.0
1360,AZ,2021-02-25,1136024.0,432137.0
1361,AZ,2021-02-26,1168054.0,462074.0
1362,AZ,2021-02-27,1195110.0,490688.0
1363,AZ,2021-02-28,1220706.0,525426.0
1364,AZ,2021-03-01,1244879.0,555881.0
1365,AZ,2021-03-02,1262868.0,575562.0
1366,AZ,2021-03-03,1277294.0,601274.0
1367,AZ,2021-03-04,1298827.0,627446.0
1368,AZ,2021-03-05,1325003.0,658220.0
1369,AZ,2021-03-06,1328642.0,662235.0
1370,AZ,2021-03-07,1388900.0,715023.0
1371,AZ,2021-03-08,1416598.0,737536.0
1372,AZ,2021-03-09,1432773.0,25.4
1373,AZ,2021-03-10,1462061.0,25.9
1703,AR,2021-02-24,378928.0,172834.0
1704,AR,2021-02-25,385351.0,184592.0
1705,AR,2021-02-26,394906.0,200532.0
1706,AR,2021-02-27,405877.0,214402.0
1707,AR,2021-02-28,419502.0,227450.0
1708,AR,2021-03-01,425567.0,233685.0
1709,AR,2021-03-02,431866.0,236706.0
1710,AR,2021-03-03,442371.0,242999.0
1711,AR,2021-03-04,452615.0,249956.0
1712,AR,2021-03-05,464641.0,257367.0
1713,AR,2021-03-06,477127.0,265226.0
1714,AR,2021-03-07,489149.0,274376.0
1715,AR,2021-03-08,494761.0,277102.0
1716,AR,2021-03-09,501433.0,21.6
1717,AR,2021-03-10,513363.0,22.2
2047,CA,2021-02-24,5639811.0,2170406.0
2048,CA,2021-02-25,5737092.0,2259934.0
2049,CA,2021-02-26,5862161.0,2380502.0
2050,CA,2021-02-27,5994948.0,2502426.0
2051,CA,2021-02-28,6141765.0,2609341.0
2052,CA,2021-03-01,6294258.0,2740495.0
2053,CA,2021-03-02,6520515.0,2900991.0
2054,CA,2021-03-03,6661278.0,2992863.0
2055,CA,2021-03-04,6739681.0,3042381.0
2056,CA,2021-03-05,6868469.0,3124031.0
2057,CA,2021-03-06,7075139.0,3259014.0
2058,CA,2021-03-07,7205989.0,3347266.0
2059,CA,2021-03-08,7318100.0,3405751.0
2060,CA,2021-03-09,7394748.0,24.2
2061,CA,2021-03-10,7491289.0,24.5
2391,CO,2021-02-24,847173.0,413202.0
2392,CO,2021-02-25,859919.0,426398.0
2393,CO,2021-02-26,876097.0,439201.0
2394,CO,2021-02-27,876958.0,440259.0
2395,CO,2021-02-28,901484.0,461947.0
2396,CO,2021-03-01,924947.0,479652.0
2397,CO,2021-03-02,935576.0,484943.0
2398,CO,2021-03-03,954066.0,499168.0
2399,CO,2021-03-04,972060.0,513386.0
2400,CO,2021-03-05,991979.0,526521.0
2401,CO,2021-03-06,1019416.0,549441.0
2402,CO,2021-03-07,1046640.0,567922.0
2403,CO,2021-03-08,1047703.0,568231.0
2404,CO,2021-03-09,1061408.0,23.6
2405,CO,2021-03-10,1089130.0,24.2
2735,CT,2021-02-24,615837.0,283844.0
2736,CT,2021-02-25,627101.0,286522.0
2737,CT,2021-02-26,650134.0,291338.0
2738,CT,2021-02-27,671322.0,296178.0
2739,CT,2021-02-28,690663.0,301151.0
2740,CT,2021-03-01,712375.0,306075.0
2741,CT,2021-03-02,719571.0,307686.0
2742,CT,2021-03-03,736848.0,311505.0
2743,CT,2021-03-04,759702.0,314508.0
2744,CT,2021-03-05,790039.0,318025.0
2745,CT,2021-03-06,822106.0,321484.0
2746,CT,2021-03-07,856048.0,325922.0
2747,CT,2021-03-08,883688.0,331587.0
2748,CT,2021-03-09,896669.0,31.6
2749,CT,2021-03-10,919676.0,32.4
3079,DE,2021-02-24,133489.0,51176.0
3080,DE,2021-02-25,135362.0,54950.0
3081,DE,2021-02-26,138321.0,59922.0
3082,DE,2021-02-27,141310.0,65740.0
3083,DE,2021-02-28,144139.0,69293.0
3084,DE,2021-03-01,145722.0,73675.0
3085,DE,2021-03-02,145892.0,73766.0
3086,DE,2021-03-03,149940.0,81275.0
3087,DE,2021-03-04,154498.0,84956.0
3088,DE,2021-03-05,158871.0,89355.0
3089,DE,2021-03-06,163954.0,93706.0
3090,DE,2021-03-07,169956.0,97981.0
