,state,date,count
0,AK,2020-01-01,3
1,AK,2020-02-01,1
2,AK,2020-03-01,2
3,AK,2020-06-01,1
4,AK,2020-10-01,1
5,AK,2020-12-01,1
6,AL,2020-01-01,3
7,AL,2020-02-01,3
8,AL,2020-03-01,2
9,AL,2020-04-01,3
10,AL,2020-05-01,3
11,AL,2020-08-01,2
12,AL,2020-10-01,2
13,AL,2020-11-01,1
14,AL,2020-12-01,1
15,AL,2021-01-01,4
16,AL,2021-02-01,1
17,AR,2020-01-01,1
18,AR,2020-02-01,2
19,AR,2020-03-01,2
20,AR,2020-04-01,1
21,AR,2020-05-01,3
22,AR,2020-06-01,3
23,AR,2020-08-01,1
24,AR,2021-01-01,2
25,AR,2021-02-01,1
26,AZ,2020-01-01,6
27,AZ,2020-02-01,4
28,AZ,2020-03-01,5
29,AZ,2020-04-01,5
30,AZ,2020-05-01,2
31,AZ,2020-06-01,1
32,AZ,2020-07-01,3
33,AZ,2020-08-01,4
34,AZ,2020-09-01,2
35,AZ,2020-10-01,7
36,AZ,2020-11-01,4
37,AZ,2020-12-01,6
38,AZ,2021-01-01,7
39,AZ,2021-02-01,3
40,CA,2020-01-01,7
41,CA,2020-02-01,8
42,CA,2020-03-01,12
43,CA,2020-04-01,12
44,CA,2020-05-01,21
45,CA,2020-06-01,18
46,CA,2020-07-01,11
47,CA,2020-08-01,20
48,CA,2020-09-01,12
49,CA,2020-10-01,22
50,CA,2020-11-01,10
51,CA,2020-12-01,11
52,CA,2021-01-01,14
53,CA,2021-02-01,6
54,CO,2020-01-01,6
55,CO,2020-02-01,4
56,CO,2020-03-01,3
57,CO,2020-04-01,4
58,CO,2020-05-01,9
59,CO,2020-06-01,4
60,CO,2020-07-01,3
61,CO,2020-08-01,3
62,CO,2020-09-01,4
63,CO,2020-10-01,2
64,CO,2020-11-01,1
65,CO,2020-12-01,2
66,CO,2021-01-01,3
67,CT,2020-01-01,3
68,CT,2020-04-01,1
69,CT,2020-12-01,1
70,CT,2021-01-01,1
