,state,date,count
0,AK,2020-01-01,3
1,AK,2020-01-02,3
2,AK,2020-01-03,3
3,AK,2020-01-04,3
4,AK,2020-01-05,3
5,AK,2020-01-06,3
6,AK,2020-01-07,3
7,AK,2020-01-08,3
8,AK,2020-01-09,3
9,AK,2020-01-10,3
10,AK,2020-01-11,3
11,AK,2020-01-12,3
12,AK,2020-01-13,3
13,AK,2020-01-14,3
14,AK,2020-01-15,3
15,AK,2020-01-16,3
16,AK,2020-01-17,3
17,AK,2020-01-18,3
18,AK,2020-01-19,3
19,AK,2020-01-20,3
20,AK,2020-01-21,3
21,AK,2020-01-22,3
22,AK,2020-01-23,3
23,AK,2020-01-24,3
24,AK,2020-01-25,3
25,AK,2020-01-26,3
26,AK,2020-01-27,3
27,AK,2020-01-28,3
28,AK,2020-01-29,3
29,AK,2020-01-30,3
30,AK,2020-01-31,3
31,AK,2020-02-01,1
32,AK,2020-02-02,1
33,AK,2020-02-03,1
34,AK,2020-02-04,1
35,AK,2020-02-05,1
36,AK,2020-02-06,1
37,AK,2020-02-07,1
38,AK,2020-02-08,1
39,AK,2020-02-09,1
40,AK,2020-02-10,1
41,AK,2020-02-11,1
42,AK,2020-02-12,1
43,AK,2020-02-13,1
44,AK,2020-02-14,1
45,AK,2020-02-15,1
46,AK,2020-02-16,1
47,AK,2020-02-17,1
48,AK,2020-02-18,1
49,AK,2020-02-19,1
50,AK,2020-02-20,1
51,AK,2020-02-21,1
52,AK,2020-02-22,1
53,AK,2020-02-23,1
54,AK,2020-02-24,1
55,AK,2020-02-25,1
56,AK,2020-02-26,1
57,AK,2020-02-27,1
58,AK,2020-02-28,1
59,AK,2020-02-29,1
60,AK,2020-03-01,2
61,AK,2020-03-02,2
62,AK,2020-03-03,2
63,AK,2020-03-04,2
64,AK,2020-03-05,2
65,AK,2020-03-06,2
66,AK,2020-03-07,2
67,AK,2020-03-08,2
68,AK,2020-03-09,2
69,AK,2020-03-10,2
70,AK,2020-03-11,2
71,AK,2020-03-12,2
72,AK,2020-03-13,2
73,AK,2020-03-14,2
74,AK,2020-03-15,2
75,AK,2020-03-16,2
76,AK,2020-03-17,2
77,AK,2020-03-18,2
78,AK,2020-03-19,2
79,AK,2020-03-20,2
80,AK,2020-03-21,2
81,AK,2020-03-22,2
82,AK,2020-03-23,2
83,AK,2020-03-24,2
84,AK,2020-03-25,2
85,AK,2020-03-26,2
86,AK,2020-03-27,2
87,AK,2020-03-28,2
88,AK,2020-03-29,2
89,AK,2020-03-30,2
90,AK,2020-03-31,2
91,AK,2020-04-01,2
92,AK,2020-04-02,2
93,AK,2020-04-03,2
94,AK,2020-04-04,2
95,AK,2020-04-05,2
96,AK,2020-04-06,2
97,AK,2020-04-07,2
98,AK,2020-04-08,2
99,AK,2020-04-09,2
100,AK,2020-04-10,2
101,AK,2020-04-11,2
102,AK,2020-04-12,2
103,AK,2020-04-13,2
104,AK,2020-04-14,2
105,AK,2020-04-15,2
106,AK,2020-04-16,2
107,AK,2020-04-17,2
108,AK,2020-04-18,2
109,AK,2020-04-19,2
110,AK,2020-04-20,2
111,AK,2020-04-21,2
112,AK,2020-04-22,2
113,AK,2020-04-23,2
114,AK,2020-04-24,2
115,AK,2020-04-25,2
116,AK,2020-04-26,2
117,AK,2020-04-27,2
118,AK,2020-04-28,2
119,AK,2020-04-29,2
120,AK,2020-04-30,2
121,AK,2020-05-01,2
122,AK,2020-05-02,2
123,AK,2020-05-03,2
124,AK,2020-05-04,2
125,AK,2020-05-05,2
126,AK,2020-05-06,2
127,AK,2020-05-07,2
128,AK,2020-05-08,2
129,AK,2020-05-09,2
130,AK,2020-05-10,2
131,AK,2020-05-11,2
132,AK,2020-05-12,2
133,AK,2020-05-13,2
134,AK,2020-05-14,2
135,AK,2020-05-15,2
136,AK,2020-05-16,2
137,AK,2020-05-17,2
138,AK,2020-05-18,2
139,AK,2020-05-19,2
140,AK,2020-05-20,2
141,AK,2020-05-21,2
142,AK,2020-05-22,2
143,AK,2020-05-23,2
144,AK,2020-05-24,2
145,AK,2020-05-25,2
146,AK,2020-05-26,2
147,AK,2020-05-27,2
148,AK,2020-05-28,2
149,AK,2020-05-29,2
150,AK,2020-05-30,2
151,AK,2020-05-31,2
152,AK,2020-06-01,1
153,AK,2020-06-02,1
154,AK,2020-06-03,1
155,AK,2020-06-04,1
156,AK,2020-06-05,1
157,AK,2020-06-06,1
158,AK,2020-06-07,1
159,AK,2020-06-08,1
160,AK,2020-06-09,1
161,AK,2020-06-10,1
162,AK,2020-06-11,1
163,AK,2020-06-12,1
164,AK,2020-06-13,1
165,AK,2020-06-14,1
166,AK,2020-06-15,1
167,AK,2020-06-16,1
168,AK,2020-06-17,1
169,AK,2020-06-18,1
170,AK,2020-06-19,1
171,AK,2020-06-20,1
172,AK,2020-06-21,1
173,AK,2020-06-22,1
174,AK,2020-06-23,1
175,AK,2020-06-24,1
176,AK,2020-06-25,1
177,AK,2020-06-26,1
178,AK,2020-06-27,1
179,AK,2020-06-28,1
180,AK,2020-06-29,1
181,AK,2020-06-30,1
182,AK,2020-07-01,1
183,AK,2020-07-02,1
184,AK,2020-07-03,1
185,AK,2020-07-04,1
186,AK,2020-07-05,1
187,AK,2020-07-06,1
188,AK,2020-07-07,1
189,AK,2020-07-08,1
190,AK,2020-07-09,1
191,AK,2020-07-10,1
192,AK,2020-07-11,1
193,AK,2020-07-12,1
194,AK,2020-07-13,1
195,AK,2020-07-14,1
196,AK,2020-07-15,1
197,AK,2020-07-16,1
198,AK,2020-07-17,1
199,AK,2020-07-18,1
200,AK,2020-07-19,1
201,AK,2020-07-20,1
202,AK,2020-07-21,1
203,AK,2020-07-22,1
204,AK,2020-07-23,1
205,AK,2020-07-24,1
206,AK,2020-07-25,1
207,AK,2020-07-26,1
208,AK,2020-07-27,1
209,AK,2020-07-28,1
210,AK,2020-07-29,1
211,AK,2020-07-30,1
212,AK,2020-07-31,1
213,AK,2020-08-01,1
214,AK,2020-08-02,1
215,AK,2020-08-03,1
216,AK,2020-08-04,1
217,AK,2020-08-05,1
218,AK,2020-08-06,1
219,AK,2020-08-07,1
220,AK,2020-08-08,1
221,AK,2020-08-09,1
222,AK,2020-08-10,1
223,AK,2020-08-11,1
224,AK,2020-08-12,1
225,AK,2020-08-13,1
226,AK,2020-08-14,1
227,AK,2020-08-15,1
228,AK,2020-08-16,1
229,AK,2020-08-17,1
230,AK,2020-08-18,1
231,AK,2020-08-19,1
232,AK,2020-08-20,1
233,AK,2020-08-21,1
234,AK,2020-08-22,1
235,AK,2020-08-23,1
236,AK,2020-08-24,1
237,AK,2020-08-25,1
238,AK,2020-08-26,1
239,AK,2020-08-27,1
240,AK,2020-08-28,1
241,AK,2020-08-29,1
242,AK,2020-08-30,1
243,AK,2020-08-31,1
244,AK,2020-09-01,1
245,AK,2020-09-02,1
246,AK,2020-09-03,1
247,AK,2020-09-04,1
248,AK,2020-09-05,1
249,AK,2020-09-06,1
250,AK,2020-09-07,1
251,AK,2020-09-08,1
252,AK,2020-09-09,1
253,AK,2020-09-10,1
254,AK,2020-09-11,1
255,AK,2020-09-12,1
256,AK,2020-09-13,1
257,AK,2020-09-14,1
258,AK,2020-09-15,1
259,AK,2020-09-16,1
260,AK,2020-09-17,1
261,AK,2020-09-18,1
262,AK,2020-09-19,1
263,AK,2020-09-20,1
264,AK,2020-09-21,1
265,AK,2020-09-22,1
266,AK,2020-09-23,1
267,AK,2020-09-24,1
268,AK,2020-09-25,1
269,AK,2020-09-26,1
270,AK,2020-09-27,1
271,AK,2020-09-28,1
272,AK,2020-09-29,1
273,AK,2020-09-30,1
274,AK,2020-10-01,1
275,AK,2020-10-02,1
276,AK,2020-10-03,1
277,AK,2020-10-04,1
278,AK,2020-10-05,1
279,AK,2020-10-06,1
280,AK,2020-10-07,1
281,AK,2020-10-08,1
282,AK,2020-10-09,1
283,AK,2020-10-10,1
284,AK,2020-10-11,1
285,AK,2020-10-12,1
286,AK,2020-10-13,1
287,AK,2020-10-14,1
288,AK,2020-10-15,1
289,AK,2020-10-16,1
290,AK,2020-10-17,1
291,AK,2020-10-18,1
292,AK,2020-10-19,1
293,AK,2020-10-20,1
294,AK,2020-10-21,1
295,AK,2020-10-22,1
296,AK,2020-10-23,1
297,AK,2020-10-24,1
298,AK,2020-10-25,1
299,AK,2020-10-26,1
300,AK,2020-10-27,1
301,AK,2020-10-28,1
302,AK,2020-10-29,1
303,AK,2020-10-30,1
304,AK,2020-10-31,1
305,AK,2020-11-01,1
306,AK,2020-11-02,1
307,AK,2020-11-03,1
308,AK,2020-11-04,1
309,AK,2020-11-05,1
310,AK,2020-11-06,1
311,AK,2020-11-07,1
312,AK,2020-11-08,1
313,AK,2020-11-09,1
314,AK,2020-11-10,1
315,AK,2020-11-11,1
316,AK,2020-11-12,1
317,AK,2020-11-13,1
318,AK,2020-11-14,1
319,AK,2020-11-15,1
320,AK,2020-11-16,1
321,AK,2020-11-17,1
322,AK,2020-11-18,1
323,AK,2020-11-19,1
324,AK,2020-11-20,1
325,AK,2020-11-21,1
326,AK,2020-11-22,1
327,AK,2020-11-23,1
328,AK,2020-11-24,1
329,AK,2020-11-25,1
330,AK,2020-11-26,1
331,AK,2020-11-27,1
332,AK,2020-11-28,1
333,AK,2020-11-29,1
334,AK,2020-11-30,1
335,AK,2020-12-01,1
336,AL,2020-01-01,3
337,AL,2020-01-02,3
338,AL,2020-01-03,3
339,AL,2020-01-04,3
340,AL,2020-01-05,3
341,AL,2020-01-06,3
342,AL,2020-01-07,3
343,AL,2020-01-08,3
344,AL,2020-01-09,3
345,AL,2020-01-10,3
346,AL,2020-01-11,3
347,AL,2020-01-12,3
348,AL,2020-01-13,3
349,AL,2020-01-14,3
350,AL,2020-01-15,3
351,AL,2020-01-16,3
352,AL,2020-01-17,3
353,AL,2020-01-18,3
354,AL,2020-01-19,3
355,AL,2020-01-20,3
356,AL,2020-01-21,3
357,AL,2020-01-22,3
358,AL,2020-01-23,3
359,AL,2020-01-24,3
360,AL,2020-01-25,3
361,AL,2020-01-26,3
362,AL,2020-01-27,3
363,AL,2020-01-28,3
364,AL,2020-01-29,3
365,AL,2020-01-30,3
366,AL,2020-01-31,3
367,AL,2020-02-01,3
368,AL,2020-02-02,3
369,AL,2020-02-03,3
370,AL,2020-02-04,3
371,AL,2020-02-05,3
372,AL,2020-02-06,3
373,AL,2020-02-07,3
374,AL,2020-02-08,3
375,AL,2020-02-09,3
376,AL,2020-02-10,3
377,AL,2020-02-11,3
378,AL,2020-02-12,3
379,AL,2020-02-13,3
380,AL,2020-02-14,3
381,AL,2020-02-15,3
382,AL,2020-02-16,3
383,AL,2020-02-17,3
384,AL,2020-02-18,3
385,AL,2020-02-19,3
386,AL,2020-02-20,3
387,AL,2020-02-21,3
388,AL,2020-02-22,3
389,AL,2020-02-23,3
390,AL,2020-02-24,3
391,AL,2020-02-25,3
392,AL,2020-02-26,3
393,AL,2020-02-27,3
394,AL,2020-02-28,3
395,AL,2020-02-29,3
396,AL,2020-03-01,2
397,AL,2020-03-02,2
398,AL,2020-03-03,2
399,AL,2020-03-04,2
400,AL,2020-03-05,2
401,AL,2020-03-06,2
402,AL,2020-03-07,2
403,AL,2020-03-08,2
404,AL,2020-03-09,2
405,AL,2020-03-10,2
406,AL,2020-03-11,2
407,AL,2020-03-12,2
408,AL,2020-03-13,2
409,AL,2020-03-14,2
410,AL,2020-03-15,2
411,AL,2020-03-16,2
412,AL,2020-03-17,2
413,AL,2020-03-18,2
414,AL,2020-03-19,2
415,AL,2020-03-20,2
416,AL,2020-03-21,2
417,AL,2020-03-22,2
418,AL,2020-03-23,2
419,AL,2020-03-24,2
420,AL,2020-03-25,2
421,AL,2020-03-26,2
422,AL,2020-03-27,2
423,AL,2020-03-28,2
424,AL,2020-03-29,2
425,AL,2020-03-30,2
426,AL,2020-03-31,2
427,AL,2020-04-01,3
428,AL,2020-04-02,3
429,AL,2020-04-03,3
430,AL,2020-04-04,3
431,AL,2020-04-05,3
432,AL,2020-04-06,3
433,AL,2020-04-07,3
434,AL,2020-04-08,3
435,AL,2020-04-09,3
436,AL,2020-04-10,3
437,AL,2020-04-11,3
438,AL,2020-04-12,3
439,AL,2020-04-13,3
440,AL,2020-04-14,3
441,AL,2020-04-15,3
442,AL,2020-04-16,3
443,AL,2020-04-17,3
444,AL,2020-04-18,3
445,AL,2020-04-19,3
446,AL,2020-04-20,3
447,AL,2020-04-21,3
448,AL,2020-04-22,3
449,AL,2020-04-23,3
450,AL,2020-04-24,3
451,AL,2020-04-25,3
