state,state_eating_and_drinking_locations,state_restaurant_worker_population,state_restaurant_employment_percentage,state_restaurants_annual_sale,restaurants_table_service_to_state_contribution,restaurants_limited_service_to_state_contribution
AL,8620,168400,10,9,1.7,1.56
AK,1485,21800,10,1.8,1.69,1.44
AZ,10281,241000,11,14.7,1.98,1.69
AR,5288,94700,10,4.9,1.72,1.55
CA,76201,1457000,11,97,2.03,1.75
CO,12031,236100,10,13.9,2.01,1.72
CT,8297,119400,9,8.2,1.77,1.53
DE,1983,35600,10,2.2,1.65,1.47
DC,2457,54400,8,4.4,1.31,1.23
FL,41366,828400,12,50.1,2.04,1.73
GA,18403,396100,11,22.9,1.97,1.74
HI,3665,73300,15,5.6,1.82,1.53
ID,3385,56800,10,2.9,1.73,1.55
IL,25488,474500,10,30.1,1.93,1.66
IN,12196,238500,10,12.8,1.75,1.56
IA,6285,102300,9,4.7,1.71,1.54
KS,5328,103200,10,5.2,1.73,1.56
KY,7654,157400,10,8.5,1.69,1.54
LA,9533,172700,11,10.3,1.76,1.54
ME,3227,45600,10,2.5,1.79,1.52
MD,11357,207400,9,13.3,1.73,1.53
MA,15797,277300,9,18.7,1.87,1.57
MI,16543,343800,10,17.9,1.9,1.66
MN,10681,199200,9,10.7,1.99,1.72
MS,4881,98800,10,5.1,1.65,1.5
MO,11200,230100,10,11.7,1.87,1.65
MT,2831,40300,12,2.3,1.72,1.53
NE,4113,71900,9,3.3,1.79,1.59
NV,5980,131100,15,9.9,1.7,1.48
NH,3178,51600,10,3,1.76,1.55
NJ,19050,264000,8,18.1,1.85,1.58
NM,3468,72700,11,4,1.65,1.48
NY,50153,684100,9,51.6,1.76,1.51
NC,19504,382600,11,21.4,1.89,1.68
ND,1736,27800,9,1.4,1.67,1.48
OH,22547,451300,10,24.2,1.95,1.71
OK,7067,141400,11,7.6,1.79,1.6
OR,10456,163900,11,9.7,1.87,1.61
PA,26548,417500,10,24,1.91,1.66
RI,2926,45200,11,2.7,1.73,1.47
SC,9669,198000,11,10.7,1.73,1.54
SD,1878,31600,11,1.5,1.72,1.53
TN,11693,268500,11,14.2,1.82,1.62
TX,48064,1094000,10,66,2.02,1.77
UT,5264,101800,8,5.5,1.96,1.75
VT,1413,20400,9,1.1,1.66,1.45
VA,15507,304500,9,18.1,1.79,1.59
WA,15690,249900,10,13.5,1.83,1.57
WV,3291,54000,10,2.8,1.56,1.43
WI,12796,212400,9,10.1,1.89,1.65
WY,1338,21200,10,1.1,1.51,1.37
