State,Density,Pop,LandArea
DC,11814.541,720687,61
NJ,1215.1991,8936574,7354
RI,1021.4323,1056161,1034
MA,894.4355,6976597,7800
CT,735.8689,3563077,4842
MD,626.6731,6083116,9707
DE,504.3073,982895,1949
NY,412.5211,19440469,47126
FL,410.1256,21992985,53625
OH,287.5038,11747694,40861
PA,286.5449,12820878,44743
CA,256.3727,39937489,155779
IL,228.0243,12659682,55519
HI,219.9419,1412687,6423
VA,218.4403,8626207,39490
NC,218.2702,10611862,48618
IN,188.281,6745354,35826
GA,186.6719,10736059,57513
MI,177.6655,10045029,56539
SC,173.3174,5210095,30061
TN,167.2748,6897576,41235
NH,153.1605,1371246,8953
WA,117.3272,7797095,66456
KY,113.9566,4499692,39486
TX,112.8204,29472295,261232
WI,108.0497,5851754,54158
LA,107.5175,4645184,43204
AL,96.9221,4908621,50645
MO,89.7453,6169270,68742
WV,73.9691,1778070,24038
MN,71.5922,5700671,79627
VT,68.1416,628061,9217
AZ,64.955,7378494,113594
MS,63.7056,2989260,46923
AR,58.403,3038999,52035
OK,57.6547,3954821,68595
IO,56.9284,3179849,55857
CO,56.4011,5845526,103642
OR,44.8086,4301089,95988
ME,43.6336,1345790,30843
UT,39.943,3282115,82170
KS,35.5968,2910357,81759
NV,28.5993,3139658,109781
NE,25.4161,1952570,76824
ID,22.0969,1826156,82643
NM,17.285,2096640,121298
SD,11.9116,903027,75811
ND,11.0393,761723,69001
MT,7.4668,1086759,145546
WY,5.84,567025,97093
AK,1.2863,734002,570641
